time_s,speed_mps,diverter_position,entry_sensor,position_sensor,exit_sensor,motor_feedback,sort_request,conveyor_motor,diverter_extend,diverter_retract,alarm,mode,state,run_latched,fault_latched,estop_latched,fault_id,fault_message,product_count,cycle_count,scan_count,scan_period_s
0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,AUTOMATIC,IDLE,False,False,False,,,0,0,1,0.05
0.05,0.0,0.0,False,False,False,False,False,False,False,True,False,AUTOMATIC,IDLE,False,False,False,,,0,0,2,0.05
0.1,0.0,0.0,False,False,False,False,False,False,False,True,False,AUTOMATIC,IDLE,False,False,False,,,0,0,3,0.05
0.15,0.0,0.0,False,False,False,False,False,False,False,True,False,AUTOMATIC,IDLE,False,False,False,,,0,0,4,0.05
0.2,0.11428571428571431,0.0,False,False,False,False,False,True,False,True,False,AUTOMATIC,STARTUP,True,False,False,,,0,0,5,0.05
0.25,0.21224489795918372,0.0,False,False,False,False,False,True,False,True,False,AUTOMATIC,STARTUP,True,False,False,,,0,0,6,0.05
0.3,0.2962099125364432,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,7,0.05
0.35,0.36817992503123703,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,8,0.05
0.4,0.42986850716963176,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,9,0.05
0.45,0.48274443471682726,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,10,0.05
0.5,0.5280666583287091,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,11,0.05
0.55,0.566914278567465,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,12,0.05
0.6,0.6002122387721129,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,13,0.05
0.65,0.628753347518954,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,14,0.05
0.7,0.6532171550162462,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,15,0.05
0.75,0.6741861328710682,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,16,0.05
0.8,0.6921595424609156,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,17,0.05
0.85,0.7075653221093562,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,18,0.05
0.9,0.7207702760937339,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,19,0.05
0.95,0.7320888080803434,0.0,False,False,False,True,False,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,20,0.05
1.0,0.7417904069260086,0.0,False,False,False,True,True,True,False,True,False,AUTOMATIC,CONVEYING,True,False,False,,,0,0,21,0.05
1.05,0.750106063079436,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,22,0.05
1.1,0.7572337683538023,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,23,0.05
1.15,0.7633432300175448,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,24,0.05
1.2,0.7685799114436098,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,25,0.05
1.25,0.7730684955230941,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,26,0.05
1.3,0.7769158533055093,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,27,0.05
1.35,0.7802135885475794,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,28,0.05
1.4,0.783040218755068,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,29,0.05
1.45,0.7854630446472012,0.0,True,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,30,0.05
1.5,0.7875397525547438,0.0,False,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,31,0.05
1.55,0.7893197879040662,0.0,False,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,32,0.05
1.6,0.7908455324891996,0.0,False,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,33,0.05
1.65,0.7921533135621711,0.0,False,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,34,0.05
1.7,0.7932742687675752,0.0,False,False,False,True,True,True,False,True,False,AUTOMATIC,PRODUCT_DETECTED,True,False,False,,,0,0,35,0.05
