method,time_s,reference,speed,command,error
Manual,0.0,0.0,0.0,0.0,0.0
Manual,0.01,0.0,0.0011277255783223143,0.062024906807727286,-0.0011277255783223143
Manual,0.02,0.0,0.0011072214768982722,0.0,-0.0011072214768982722
Manual,0.03,0.0,0.0012994049416341163,0.011677312037369695,-0.0012994049416341163
Manual,0.04,0.0,0.001394708545132802,0.006541103134061827,-0.001394708545132802
Manual,0.05,0.0,0.0013852758881434189,0.0008759124107167363,-0.0013852758881434189
Manual,0.06,0.0,0.001944133638477623,0.03212245215652465,-0.001944133638477623
Manual,0.07,0.0,0.0019087857541416663,0.0,-0.0019087857541416663
Manual,0.08,0.0,0.0020097681031274106,0.00746281494835759,-0.0020097681031274106
Manual,0.09,0.0,0.0019732268648887303,0.0,-0.0019732268648887303
Manual,0.1,0.0,0.0019691081477965352,0.0017466974248180104,-0.0019691081477965352
Manual,0.11,0.0,0.0021270048111604817,0.01065342463281359,-0.0021270048111604817
Manual,0.12,0.0,0.0022069000375202676,0.006521242260948698,-0.0022069000375202676
Manual,0.13,0.0,0.0023790185506554168,0.01167341825995348,-0.0023790185506554168
Manual,0.14,0.0,0.0026255751471171065,0.01593963135604834,-0.0026255751471171065
Manual,0.15,0.0,0.002602801302037428,0.0013730136677347887,-0.002602801302037428
Manual,0.16,0.0,0.002555477642000384,0.0,-0.002555477642000384
Manual,0.17,0.0,0.00255812447078612,0.002701053225215866,-0.00255812447078612
Manual,0.18,0.0,0.002511613116771827,0.0,-0.002511613116771827
Manual,0.19,0.0,0.002571530100085867,0.005807047199044034,-0.002571530100085867
Manual,0.2,0.0,0.002534775042685154,0.0005500019430466562,-0.002534775042685154
Manual,0.21,0.0,0.002488688223727242,0.0,-0.002488688223727242
Manual,0.22,0.0,0.0024434393469322017,0.0,-0.0024434393469322017
Manual,0.23,0.0,0.002673812562254809,0.015113966189675603,-0.002673812562254809
Manual,0.24,0.0,0.002729277162657752,0.005724365584416665,-0.002729277162657752
Manual,0.25,0.0,0.00267965394151852,0.0,-0.00267965394151852
Manual,0.26,0.0,0.002630932960763638,0.0,-0.002630932960763638
Manual,0.27,0.0,0.0028360012852982745,0.013909690810168645,-0.0028360012852982745
Manual,0.28,0.0,0.0029612794677516983,0.009726301320236592,-0.0029612794677516983
Manual,0.29,0.0,0.0029074380228834855,0.0,-0.0029074380228834855
Manual,0.3,0.0,0.0032474279173126523,0.021606882216487662,-0.0032474279173126523
Manual,0.31,0.0,0.0033045173135474977,0.0063873447102291495,-0.0033045173135474977
Manual,0.32,0.0,0.003244435180573907,0.0,-0.003244435180573907
Manual,0.33,0.0,0.0031854454500180175,0.0,-0.0031854454500180175
Manual,0.34,0.0,0.0031970324930568287,0.003822732817152636,-0.0031970324930568287
Manual,0.35000000000000003,0.0,0.0031389046295467044,0.0,-0.0031389046295467044
Manual,0.36,0.0,0.0040857465800904335,0.055215211909451826,-0.0040857465800904335
Manual,0.37,0.0,0.004011460278634244,0.0,-0.004011460278634244
Manual,0.38,0.0,0.004248572947226945,0.017052657051232822,-0.004248572947226945
Manual,0.39,0.0,0.004652860747434454,0.026484401958639915,-0.004652860747434454
Manual,0.4,0.0,0.004568263279299282,0.0,-0.004568263279299282
Manual,0.41000000000000003,0.0,0.004485203946948386,0.0,-0.004485203946948386
Manual,0.42,0.0,0.004569878835838806,0.009142322835921448,-0.004569878835838806
Manual,0.43,0.0,0.004829176874831492,0.018831270980436552,-0.004829176874831492
Manual,0.44,0.0,0.004741373658925465,0.0,-0.004741373658925465
Manual,0.45,0.0,0.00465516686512682,0.0,-0.00465516686512682
Manual,0.46,0.0,0.004570527467579059,0.0,-0.004570527467579059
Manual,0.47000000000000003,0.0,0.004487426968168531,0.0,-0.004487426968168531
Manual,0.48,0.0,0.004477141338690995,0.0039217173469040904,-0.004477141338690995
Manual,0.49,0.0,0.004395738768896614,0.0,-0.004395738768896614
Manual,0.5,0.8,0.022497634427643944,1.0,0.7775023655723561
Manual,0.51,0.8,0.04027040471077769,1.0,0.7597295952892223
Manual,0.52,0.8,0.057720033716036276,1.0,0.7422799662839638
Manual,0.53,0.8,0.07485239673938107,1.0,0.725147603260619
Manual,0.54,0.8,0.09167326225321051,1.0,0.7083267377467896
Manual,0.55,0.8,0.10818829384860668,1.0,0.6918117061513933
Manual,0.56,0.8,0.12440305214226838,1.0,0.6755969478577317
Manual,0.5700000000000001,0.8,0.1403229966487726,1.0,0.6596770033512275
Manual,0.58,0.8,0.1559534876187949,1.0,0.6440465123812051
Manual,0.59,0.8,0.17129978784390773,1.0,0.6287002121560923
Manual,0.6,0.8,0.18636706442856396,1.0,0.6136329355714361
Manual,0.61,0.8,0.2011603905298628,1.0,0.5988396094701373
Manual,0.62,0.8,0.21568474706568347,1.0,0.5843152529343165
Manual,0.63,0.8,0.22994502439176195,1.0,0.570054975608238
Manual,0.64,0.8,0.24394602394827536,1.0,0.5560539760517247
Manual,0.65,0.8,0.25769245987648853,1.0,0.5423075401235116
Manual,0.66,0.8,0.2711830519352513,0.9996750231084407,0.5288169480647488
Manual,0.67,0.8,0.28416173632262987,0.9850106932410742,0.5158382636773702
Manual,0.68,0.8,0.29717697748040023,1.0,0.5028230225195998
Manual,0.6900000000000001,0.8,0.3097507052333965,0.9887320038951932,0.49024929476660356
Manual,0.7000000000000001,0.8,0.32165715528900163,0.964605458291681,0.4783428447109984
Manual,0.71,0.8,0.33353203969662315,0.9747757977081839,0.4664679603033769
Manual,0.72,0.8,0.3443091751973819,0.9262744922383537,0.45569082480261813
Manual,0.73,0.8,0.3557503248059662,0.9735724036695169,0.44424967519403386
Manual,0.74,0.8,0.366244544236537,0.9329323934873612,0.433755455763463
Manual,0.75,0.8,0.37689111206319537,0.9518057747027465,0.4231088879368047
Manual,0.76,0.8,0.38636487112625933,0.897947860531713,0.4136351288737407
Manual,0.77,0.8,0.39611291931649095,0.9225075215889972,0.4038870806835091
Manual,0.78,0.8,0.4056527485044413,0.9208035246537578,0.39434725149555877
Manual,0.79,0.8,0.41529050463106465,0.9357293354687284,0.3847094953689354
Manual,0.8,0.8,0.4234516149421489,0.864151571740698,0.37654838505785115
Manual,0.81,0.8,0.43180976199087684,0.8831497026221847,0.3681902380091232
Manual,0.8200000000000001,0.8,0.4399502938180678,0.8795390124863768,0.36004970618193227
Manual,0.8300000000000001,0.8,0.44774678137855534,0.868757109644885,0.3522532186214447
Manual,0.84,0.8,0.45559764982197015,0.8795445457663696,0.3444023501780299
Manual,0.85,0.8,0.46349963771784325,0.8902069840949909,0.3365003622821568
Manual,0.86,0.8,0.471136409534486,0.8835220876331947,0.32886359046551406
Manual,0.87,0.8,0.47848532908749164,0.8753269849497971,0.3215146709125084
Manual,0.88,0.8,0.484893432536797,0.8309310187992878,0.31510656746320304
Manual,0.89,0.8,0.4921239156901189,0.8825700059694999,0.30787608430988117
Manual,0.9,0.8,0.4987595210758859,0.8570822119073036,0.30124047892411415
Manual,0.91,0.8,0.5051016129325492,0.847574573192366,0.29489838706745086
Manual,0.92,0.8,0.5110971025732708,0.8348535431722378,0.28890289742672925
Manual,0.93,0.8,0.5168507289869178,0.8275465553238567,0.2831492710130823
Manual,0.9400000000000001,0.8,0.5230646503442424,0.8586164036397724,0.2769353496557576
Manual,0.9500000000000001,0.8,0.5291648308447152,0.8585745778702458,0.2708351691552848
Manual,0.96,0.8,0.5344597014178767,0.8203827123685967,0.26554029858212336
Manual,0.97,0.8,0.5392783648918694,0.7994861924874744,0.2607216351081306
Manual,0.98,0.8,0.544222303485351,0.8111949875333619,0.255777696514649
Manual,0.99,0.8,0.5492428585179626,0.8203528302789891,0.2507571414820374
Manual,1.0,0.8,0.5542843819066053,0.8265266448933104,0.2457156180933947
Manual,1.01,0.8,0.5589540662803756,0.8111170224639664,0.24104593371962446
Manual,1.02,0.8,0.5636798734289877,0.8188734594540449,0.2363201265710123
Manual,1.03,0.8,0.5679160135598119,0.7966675806243204,0.23208398644018813
Manual,1.04,0.8,0.5725995556118794,0.8255108264235221,0.22740044438812068
Manual,1.05,0.8,0.5767911856579956,0.8031392081482693,0.22320881434200446
Manual,1.06,0.8,0.5809632404811756,0.8062542009328977,0.2190367595188244
Manual,1.07,0.8,0.5848111878454167,0.7926003455144388,0.2151888121545833
Manual,1.08,0.8,0.5886970290136792,0.798532452099848,0.2113029709863209
Manual,1.09,0.8,0.5917502533208348,0.7566243659072348,0.2082497466791653
Manual,1.1,0.8,0.5952120673504638,0.7821500249504322,0.2047879326495362
