time_s,scan_period_s,conveyor_motor,motor_feedback,state,mode,fault_id
0.0,0.05,False,False,IDLE,AUTOMATIC,
0.05,0.05,False,False,IDLE,AUTOMATIC,
0.1,0.05,False,False,IDLE,AUTOMATIC,
0.15,0.05,False,False,IDLE,AUTOMATIC,
0.2,0.05,True,False,STARTUP,AUTOMATIC,
0.25,0.05,True,False,STARTUP,AUTOMATIC,
0.3,0.05,True,True,CONVEYING,AUTOMATIC,
0.35,0.05,True,True,CONVEYING,AUTOMATIC,
0.4,0.05,True,True,CONVEYING,AUTOMATIC,
0.45,0.05,True,True,CONVEYING,AUTOMATIC,
0.5,0.05,True,True,CONVEYING,AUTOMATIC,
0.55,0.05,True,True,CONVEYING,AUTOMATIC,
0.6,0.05,True,True,CONVEYING,AUTOMATIC,
0.65,0.05,True,True,CONVEYING,AUTOMATIC,
0.7,0.05,True,True,CONVEYING,AUTOMATIC,
0.75,0.05,True,True,CONVEYING,AUTOMATIC,
0.8,0.05,True,True,CONVEYING,AUTOMATIC,
0.85,0.05,True,True,CONVEYING,AUTOMATIC,
0.9,0.05,True,True,CONVEYING,AUTOMATIC,
0.95,0.05,True,True,CONVEYING,AUTOMATIC,
1.0,0.05,True,True,CONVEYING,AUTOMATIC,
1.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
1.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
2.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
3.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
